ranking,score,movie_name,score_num
168,8.6,可可西里,119604
169,8.6,心迷宫,139347
170,8.3,唐伯虎点秋香,290121
171,8.6,超能陆战队,336747
172,8.6,时空恋旅人,177070
173,8.6,海盗电台,157684
174,8.8,地球上的星星,75236
175,8.5,蝙蝠侠：黑暗骑士崛起,272136
176,8.5,谍影重重2,147576
177,8.5,谍影重重,178248
178,8.9,小森林 冬春篇,96312
179,8.5,阿飞正传,163681
180,8.3,恐怖游轮,286715
181,9.1,迁徙的鸟,49315
182,8.6,荒野生存,118656
183,8.5,勇闯夺命岛,132373
184,8.8,惊魂记,74668
185,8.7,绿里奇迹,98218
186,8.6,达拉斯买家俱乐部,153426
187,8.4,魔女宅急便,176979
188,8.6,爆裂鼓手,213453
189,8.5,再次出发之纽约遇见你,149656
190,8.8,未麻的部屋,82237
191,8.6,卡萨布兰卡,115502
192,8.6,燕尾蝶,102546
193,9.2,东京物语,45712
194,8.7,牯岭街少年杀人事件,94581
195,8.5,这个男人来自地球,161552
196,8.5,被解救的姜戈,240964
197,8.4,变脸,199538
198,8.4,英国病人,164331
199,8.7,末路狂花,95177
200,8.5,终结者2：审判日,130336
201,8.5,E.T. 外星人,140936
202,9.0,忠犬八公物语,50201
203,8.6,叫我第一名,101050
204,8.8,哪吒闹海,72193
205,8.4,青蛇,199778
206,8.4,发条橙,172791
207,8.3,源代码,379276
208,9.1,黄金三镖客,46415
209,8.3,穆赫兰道,215706
210,8.5,黑客帝国3：矩阵革命,141504
211,8.4,新龙门客栈,167409
212,8.6,非常嫌疑犯,106437
213,8.4,美国丽人,170582
214,9.2,城市之光,38571
215,8.6,上帝也疯狂,89195
216,8.4,无耻混蛋,206408
217,8.2,初恋这件小事,422156
218,8.9,勇士,80889
219,9.0,爱·回家,43765
220,8.2,蓝色大门,257158
221,8.3,曾经,191191
222,8.6,无敌破坏王,171509
223,8.5,麦兜故事,118829
224,8.4,暖暖内含光,133915
225,8.7,大卫·戈尔的一生,79268
226,8.6,蝴蝶,90396
227,8.5,模仿游戏,229225
228,8.5,血钻,117649
229,8.3,国王的演讲,312409
230,8.5,遗愿清单,114502
231,8.9,与狼共舞,52774
232,8.6,巴黎淘气帮,98937
233,8.4,荒岛余生,120996
234,8.5,偷拐抢骗,107549
235,8.3,夜访吸血鬼,184276
236,8.2,疯狂的石头,282009
237,8.6,枪火,89027
238,8.7,爱在午夜降临前,103133
239,8.7,千钧一发,75049
240,8.5,月球,130944
241,8.3,爱在暹罗,208250
242,8.7,中央车站,71747
243,8.8,寿司之神,74290
244,9.0,我爱你,49971
245,8.1,两小无猜,300788
246,8.4,罪恶之城,131809
247,8.5,廊桥遗梦,89724
248,8.3,彗星来的那一夜,146954
249,8.2,假如爱有天意,214599
250,8.5,黑鹰坠落,100233
